Id.;Título;Autor;Fecha;Periódico / institución;Resumen;Lugar;Demanda;Actor demandante;Actor demandado;Actor Mediador;Otro actor;Acción conflictiva;evento nuevo;Tipo de evento conflictivo;Sector demandante;Sector demandado;Sector mediador;Sector otro actor;Escala del conflicto;Episodio conflictivo;Campo de conflicto;Región;Municipio;Cuenca, Fuente o cuerpo de agua;Lugar para georeferencia;Latitud;Longitud;Texto completo;observaciones
1;Hasta agosto no harán obra que llevará agua hasta el sur;;3/1/09;Los Tiempos;Las obras para dotar de agua potable a la zona sur de la ciudad no empezarán a ejecutarse antes del segundo semestre del próximo año pues los recursos necesarios para llevar adelante el proyecto no se encuentran inscritos en el Plan Operativo Anual 2009 de la Prefectura.;Cochabamba;Dotación de agua para consumo humano a la zona Sur de Cochabamba;;Gobernación;;;Autoridades no cuentan con financiamiento para el proyecto;SI;Demanda de agua potable;;Gob departamental;;;Análisis/ propuesta;Agua Zona Sur;Reproducción social;Metropolitana;Cochabamba;Sin fuente específica;Zona Sur Av. Petrolera;-17.452530;-66.129200;Link;
2;Alcaldía vulnera ley de la laguna;;20/1/09;Los Tiempos;Escombros, excavaciones cerca al ingreso al Country Club, rebalse del sistema de alcantarillado que desemboca en la laguna y peligro de derrame en el surtidor cercano son evidencia del estado de contaminación de la laguna Alalay, según una inspección realizada en noviembre pasado por el Comité de Recuperación, Mejoramiento y Preservación de la laguna (CRMP).;Laguna Alalay;Respeto a la ley de protección de laguna;Crempla y Codema;GAM Cercado;;;Alcaldia vulnera la ley de protección de la laguna;SI;Contaminación de aguas;Comité interinstitucional;Gob municipal;;;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;Laguna Alalay;-17.407960;-66.138557;Link;
3;Alcaldía y ambientalistas en problemas por Alalay;;23/1/09;Los Tiempos;El Comité de Defensa Ambiental Cochabamba (Codac) reclama por el estado en el que se encuentra el principal espejo de agua de Cochabamba, debido a que fue afectado por la Alcaldía en al menos en cuatro aspectos a pesar de que según la ejecución presupuestaria 2008 se invirtió alrededor de un millón de bolivianos en su revitalización.;Exigen que la Alcaldia asuma su responsabilidad de daño a la laguna;;Ambientalistas;GAM Cercado;;;Reclaman por el estado de la laguna;NO;Contaminación de aguas;Comité interinstitucional;Gob municipal;;;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;;;;Link;
4;Alalay otra vez cubierta por macrófitas;;11/3/09;Opinión;Más del 60 por ciento del espejo de agua de la laguna Alalay está cubierto nuevamente de “macrófitas”, por lo que este martes se inició una extracción manual, informó el oficial mayor de Desarrollo Económico y Gestión Ambiental de la Alcaldía, Samuel Soria.;Laguna Alalay;Recuperación de la Laguna Alalay;;GAM Cercado;;;GAM Cochabamba planea limpieza de macrofítas;NO;Contaminación de aguas;;Gob municipal;;;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;;;;Link;
5;Cuatro conexiones de alcantarillado echan sus aguas a la laguna Alalay;;24/3/09;Opinión;La laguna Alalay se encuentra nuevamente cubierta de macrófitas, en aproximadamente el 70 por ciento de su extensión, además que al menos cuatro conexiones clandestinas de alcantarillado siguen arrojando aguas servidas a este espejo de agua, contaminando todo su entorno.;Laguna Alalay;Recuperación de la Laguna Alalay;;GAM Cercado;;;Inspeccion de las autoridades municipales;SI;Contaminación de aguas;;Gob municipal;;;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;Laguna Alalay;-17.407960;-66.138557;Link;
6;Alertan que la laguna Alalay puede convertirse en pantano;;7/4/09;Los Tiempos;La laguna Alalay podría quedar convertida en un pantano similar al de Albarrancho si no se hace buen manejo ambiental. ;Laguna Alalay;Acciones inmediatas para salvar laguna;;Prefectura Cochabamba;;Tecnicos de la UMSS;Alertan sobre la necesidad de intervenir en la laguna de manera urgente.;NO;Contaminación de aguas;;Gob departamental;;Universidad;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;;;;Link;
7;Los felices aguateros;Carmela Gutiérrez de Jhonsson;8/4/09;Los Tiempos;Hubiera sido peligroso para los ideólogos de entonces que una privada demostrara su eficiencia. Y se descartó también porque pretendía cobrar a los aguateros y a las clases medias, que disfrutamos de un subsidio que está resultando suicida;Cochabamba;;;Autoridades municipales y departamentales;;;Análisis de la Guerra del Agua;expediente;;;Aut. Dptal. y Mpal.;;;Análisis/ propuesta;Guerra del Agua;Reproducción social;Metropolitana;Cochabamba;Sin fuente específica;;;;Link;
8;Dos días de intensa limpieza reduce el 25% de macrófitas en Alalay;;19/4/09;Opinión;La campaña de limpieza que se realizó los días viernes y sábado en la laguna Alalay logró reducir en un 25 por ciento la cantidad de macrófitas del espejo de agua, informó anoche el oficial mayor de Desarrollo Económico y Gestión Ambiental de la Alcaldía, Samuel Soria.;Laguna Alalay;Limpieza de la Laguna Alalay;;GAM Cercado;;;Campaña de limpieza;SI;Contaminación de aguas;;Gob municipal;;;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;Laguna Alalay;-17.407960;-66.138557;Link;
9;Proponen recuperar Alalay con una inversión de $us 3,8 millones;;21/4/09;Opinión;La laguna Alalay se puede recuperar con una inversión de 3,8 millones de dólares, necesarios para un proyecto de oxigenación y recolección de residuos sólidos extraños.;Cochabamba;Compra de equipos para oxigenación de la Laguna;;GAM Cercado;;;Proponen recuperar la Laguna;NO;Contaminación de aguas;;Gob municipal;;;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;;;;Link;
10;Proyecto de agua potable y alcantarillado se reinicia después de seis años de paralización;;22/4/09;Opinión;El ministro del Agua, René Orellana, dio luz verde ayer al reinicio del proyecto de Mejoramiento y Ampliación del Sistema de Agua Potable y Alcantarillado de la Mancomunidad Colcapirhua y Tiquipaya (MACOTI).;Tiquipaya;Reinicio de obras;;Ministerio del Agua;;BID;Control social al reinicio de obras;SI;Implementación de proyecto;;Gob central ejecutivo;;Cooperación internacional;Análisis/ propuesta;Macoti;Reproducción social;Metropolitana;Tiquipaya;Sin fuente específica;Tiquipaya;-17.360601;-66.228818;Link;
